Data,Signal
2017-05-14,-0.30091319212706186
2017-05-21,-0.41676958393872665
2017-05-28,-0.42067977755443897
2017-06-04,-0.28199656458565364
2017-06-11,-0.38823366776409246
2017-06-18,-0.2614346929367759
2017-06-25,-0.4088721540479154
2017-07-02,-0.3486991520427907
2017-07-09,-0.22436183840410912
2017-07-16,-0.29627113402091226
2017-07-23,-0.3269313343087218
2017-07-30,-0.2069366889393526
2017-08-06,-0.2890063011697093
2017-08-13,-0.32649474358328884
2017-08-20,-0.23544165775115636
2017-08-27,-0.30223848713509643
2017-09-03,-0.2346138213629202
2017-09-10,-0.4143557484422286
2017-09-17,-0.2274783063798502
2017-09-24,-0.2691685773180058
2017-10-01,-0.3370656143696176
2017-10-08,-0.4503381310914526
2017-10-15,-0.2596991234935579
2017-10-22,-0.2784971130375671
2017-10-29,-0.23158371117763768
2017-11-05,-0.3324019525649419
2017-11-12,-0.2436325328895037
2017-11-19,-0.2410054419189201
2017-11-26,-0.2432328152529849
2017-12-03,-0.28217735661431304
2017-12-10,-0.10050870951167394
2017-12-17,-0.14563508672925363
2017-12-24,-0.310622317809923
2017-12-31,-0.22755888391700804
2018-01-07,-0.21241352121542284
2018-01-14,-0.08122833757292937
2018-01-21,-0.15932587392611489
2018-01-28,-0.13693645548082234
2018-02-04,-0.22003644288481822
2018-02-11,-0.1808169031878853
2018-02-18,-0.2628823425345611
2018-02-25,-0.314700692273347
2018-03-04,0.03713761557037804
2018-03-11,-0.27521677356179214
2018-03-18,-0.31075708409429076
2018-03-25,-0.13357474261031002
2018-04-01,-0.013405919134290298
2018-04-08,-0.05387044362898791
2018-04-15,-0.22957566143045918
2018-04-22,-0.1892084133616579
2018-04-29,-0.16904071307398238
2018-05-06,-0.19917652937705757
2018-05-13,-0.08981178170924109
2018-05-20,-0.18581672014965597
2018-05-27,-0.23478025800564142
2018-06-03,-0.21714687365788127
2018-06-10,-0.09184216870953539
2018-06-17,-0.2447926359648148
2018-06-24,-0.17757022347170398
2018-07-01,-0.22190786644794774
2018-07-08,-0.3097361543415082
2018-07-15,0.05198621216570122
2018-07-22,-0.25337936989495646
2018-07-29,-0.18483066415842533
2018-08-05,-0.2144629938166507
2018-08-12,-0.2587414170153852
2018-08-19,-0.4652437689301616
2018-08-26,-0.2926384158337928
2018-09-02,-0.37117476313339753
2018-09-09,-0.4196573293020254
2018-09-16,-0.3400933079194165
2018-09-23,-0.08650993104434186
2018-09-30,-0.3053359374596665
2018-10-07,-0.15218479230207677
2018-10-14,-0.22723169430821893
2018-10-21,-0.13853816428467
2018-10-28,-0.31832525379172744
2018-11-04,-0.11221833071245617
2018-11-11,-0.219461807657495
2018-11-18,-0.18146600241192953
2018-11-25,-0.0641125060160837
2018-12-02,-0.17961139903608841
2018-12-09,-0.26842764396533164
2018-12-16,-0.17815707038148285
2018-12-23,-0.21573690033024337
2018-12-30,-0.2149454813727473
2019-01-06,-0.3387606456858005
2019-01-13,-0.10920296279990076
2019-01-20,-0.34034036212829766
2019-01-27,-0.07282079932282065
2019-02-03,-0.4175014422018685
2019-02-10,-0.09954650866176772
2019-02-17,-0.35537412784221645
2019-02-24,-0.15734493150547454
2019-03-03,-0.20551815213903063
2019-03-10,-0.24917926168956286
2019-03-17,-0.2839358922877001
2019-03-24,-0.23095447417232393
2019-03-31,-0.2765095902464236
2019-04-07,-0.10126879185486304
2019-04-14,-0.2342322688060041
2019-04-21,-0.21849406912280148
2019-04-28,-0.3333494019986714
2019-05-05,-0.0870406714091173
2019-05-12,-0.141085209419452
2019-05-19,-0.16525599254568052
2019-05-26,-0.31135222322838635
2019-06-02,-0.19709814328838912
2019-06-09,-0.12037432835319917
2019-06-16,-0.2465458934188151
2019-06-23,-0.2731180747225342
2019-06-30,-0.4442320995161628
2019-07-07,-0.2373430736422835
2019-07-14,-0.3442150733285952
2019-07-21,-0.23382618824817336
2019-07-28,-0.24285646936940553
2019-08-04,-0.2810334199796196
2019-08-11,-0.3129375966242025
2019-08-18,-0.13622452622391357
2019-08-25,-0.12585754297006532
2019-09-01,-0.26742542519265694
2019-09-08,-0.053313778602640645
2019-09-15,-0.2462684274203798
2019-09-22,-0.31951326440120614
2019-09-29,-0.23217525328345032
2019-10-06,-0.2774192820546888
2019-10-13,-0.05534865805161239
2019-10-20,-0.20930807719034722
2019-10-27,-0.18353666228193338
2019-11-03,-0.16360364922311044
2019-11-10,-0.2836986419111286
2019-11-17,-0.31766420748423474
2019-11-24,-0.1080858687952378
2019-12-01,-0.11601195119341662
2019-12-08,-0.18003474649505435
2019-12-15,-0.22556025048245013
2019-12-22,-0.30761179855231857
2019-12-29,-0.2097928808710159
2020-01-05,-0.0503250883019396
2020-01-12,0.03386992196838414
2020-01-19,-0.0093947738336399
2020-01-26,-0.20223927465261907
2020-02-02,-0.23474158227508848
2020-02-09,-0.058977646850659385
2020-02-16,-0.01038672274085804
2020-02-23,-0.1609585729192251
2020-03-01,-0.4842103548356285
2020-03-08,-0.2866638608357083
2020-03-15,-0.4263630126109758
2020-03-22,-0.38121541414612053
2020-03-29,-0.44640938258056434
2020-04-05,-0.4010502289469973
2020-04-12,-0.303414102823255
2020-04-19,-0.2731485771164676
2020-04-26,-0.32427929536359623
2020-05-03,-0.3708679101956137
2020-05-10,-0.24421266784963924
2020-05-17,-0.27306819060503057
2020-05-24,-0.3438503963735508
2020-05-31,-0.30927774374538697
2020-06-07,-0.3909545725820549
2020-06-14,-0.20332885502593578
2020-06-21,-0.21389547267623873
2020-06-28,-0.2209900332352778
2020-07-05,-0.36120328883825525
2020-07-12,-0.3050104472991599
2020-07-19,-0.37470014782953004
2020-07-26,-0.29353942953221224
2020-08-02,-0.17261749985780003
2020-08-09,-0.23235700384527322
2020-08-16,-0.30556258923210877
2020-08-23,-0.36264952197310674
2020-08-30,-0.21476406334542927
2020-09-06,-0.11222528972801987
2020-09-13,-0.259577030297433
2020-09-20,-0.13966901288623176
2020-09-27,-0.35793887269174157
2020-10-04,-0.30583273284287893
2020-10-11,-0.38020305074627553
2020-10-18,-0.1390014052577767
