Data,Notícia
2024-08-23,Ibovespa acompanha cenário externo e opera em alta; dólar tem queda
2024-08-23,Ibovespa perde força e cai a 135 mil pontos
2024-08-23,"Ibovespa surfa onda positiva e se aproxima dos 137 mil pontos: veja as 10 
ações mais indicadas agora, segundo o BTG Pactual"
2024-08-23,"Ibovespa fecha em alta em dia de otimismo pós-fala de Powell; dólar tem 
maior queda diária de 2024"
2024-08-23,"Ibovespa encerra dia com alta, após BC americano confirmar que pode baixar 
taxas"
2024-08-23,"Ibovespa abre em alta e dólar cai, antes do discurso de Powell"
2024-08-22,"Ibovespa tem queda após recordes históricos, com juros nos EUA no radar; 
dólar tem forte alta"
2024-08-22,"JPMorgan eleva Ibovespa após máximas e vê índice aos 143 mil (e além) no 
fim do ano"
2024-08-22,"Ibovespa deixa recordes para trás e recua quase 1% com Itaú (ITUB4) e falas 
de Galípolo; dólar avança a R$ 5,59"
2024-08-22,Ibovespa supera a marca de 136 mil pontos
2024-08-22,Ibovespa cai e interrompe sequência de recordes; dólar dispara quase 2%
2024-08-22,"Ibovespa recua após recordes; dólar se aproxima de R$ 5,60"
2024-08-22,"Ibovespa futuro sobe após 3º recorde consecutivo e ata do Fed; veja – Tempo 
Real – Estadão E-Investidor – As principais notícias do mercado financeiro"
2024-08-22,"Ibovespa abre em queda e fica abaixo dos 136 mil pontos; dólar sobe mais de 
1%"
2024-08-22,"Os motivos para o ‘rali’ do Ibovespa, segundo a Cardinal Partners"
2024-08-22,"Ibovespa recua na contramão do exterior e dólar sobe a R$ 5,56 antes de 
falas do BC"
2024-08-21,"Ibovespa tem novo recorde de fechamento, com impulso de Vale; CVC dispara"
2024-08-21,"Ibovespa volta a subir e bate novo recorde histórico, aos 136 mil pontos"
2024-08-21,Ibovespa abre em alta e testa novas máximas históricas
2024-08-21,"Tempo real: Ibovespa (IBOV) renova recorde de fechamento e se aproxima dos 
137 mil pontos após ata do Fed reforçar expectativas de corte nos juros dos 
EUA; dólar cai a R$ 5,48"
2024-08-21,"Ibovespa quebra recorde no 3º dia seguido de olho em juros dos EUA; dólar 
fica estável"
2024-08-21,Ibovespa atingiu a marca de 136 mil pontos
2024-08-21,Ibovespa fecha em alta pelo 3º dia consecutivo e mantém os 136 mil pontos
2024-08-21,"Ibovespa hoje quebra novo recorde com impulso da Vale (VALE3) e outras 
ações de mineradoras e siderúrgicas – Mercado – Estadão E-Investidor – As 
principais notícias do mercado financeiro"
2024-08-21,Ibovespa renova recordes históricos. Rali vai continuar?
