Data,ivolbr,RSI_14,Volume,Signal,trends
2020-02-17,18.77732276916504,49.85480070290181,0.0,-0.2930454514912211,29.086206896551722
2020-02-18,21.266109466552734,48.81543657581357,5548400.0,-0.20926359992380222,29.086206896551722
2020-02-19,18.03603744506836,53.64599400699771,6334100.0,0.2743977800122761,29.086206896551722
2020-02-20,18.943330764770508,47.58285023959952,6793000.0,-0.05992101231989018,29.086206896551722
2020-02-21,18.943330764770508,45.01626233649512,5896200.0,-0.385819960150004,29.086206896551722
2020-02-22,18.943330764770508,45.01626233649512,5896200.0,-0.33764783006799287,29.086206896551722
2020-02-23,18.943330764770508,45.01626233649512,5896200.0,-0.3297595636291876,29.086206896551722
2020-02-24,18.943330764770508,45.01626233649512,5896200.0,-0.015249741379841517,29.086206896551722
2020-02-25,18.943330764770508,45.01626233649512,5896200.0,-0.14517152429537858,29.086206896551722
2020-02-26,25.096574783325195,29.790099647090827,9369800.0,-0.6910505466709455,29.086206896551722
2020-02-27,29.506093978881836,26.478614798019084,11237700.0,-0.5330624697302715,29.086206896551722
2020-02-28,34.58830642700195,30.113945726906305,11228400.0,-0.47638133577895786,29.086206896551722
2020-02-29,34.58830642700195,30.113945726906305,11228400.0,-0.5353319705898484,29.086206896551722
2020-03-01,34.58830642700195,30.113945726906305,11228400.0,-0.6101097153743064,46.53448275862069
2020-03-02,25.882606506347656,37.03676644972794,8858400.0,-0.1693641033095812,46.53448275862069
2020-03-03,27.2589111328125,35.3635046620652,9385600.0,-0.5440000314362543,46.53448275862069
2020-03-04,27.2589111328125,39.89762783826649,8410500.0,-0.33868947459775833,46.53448275862069
2020-03-05,31.34469985961914,32.60948844574407,8598600.0,0.12038444231034691,46.53448275862069
2020-03-06,41.53878402709961,27.943870062297588,11864200.0,-0.23906358674282557,46.53448275862069
2020-03-07,41.53878402709961,27.943870062297588,11864200.0,-0.5016680508368067,46.53448275862069
2020-03-08,41.53878402709961,27.943870062297588,11864200.0,-0.4649094672744244,46.53448275862069
2020-03-09,41.53878402709961,19.487411039068142,14645500.0,-0.4771445281308908,46.53448275862069
