Date,ABEV3.SA,ALOS3.SA,ALPA4.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,QUANTIDADE TE�RICA TOTAL.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,REDUTOR.SA,RENT3.SA,RRRP3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SOMA3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2000-02-21 00:00:00,0.0,,,,,,,1875600,622938,,,,,6248000000,0,8800,,,1887851,,,0,2724765,,,2289600,,0,,,539,,730880,,,,,,7010000,920000,,,,,7833988,,,,0.0,,,,,,,,1254400000,18700800000,,,,0.0,,,,,,,,,3444,,,,,,,,130713,,904050,52800,,,,126,0,
2000-02-22 00:00:00,75.0,,,,,,,394200,918014,,,,,4624000000,0,52000,,,1973813,,,0,2090586,,,9028800,,32000,,,1310,,690910,,,,,,10670000,100000,,,,,14659361,,,,0.0,,,,,,,,4994560000,22474240000,,,,0.0,,,,,,,,,1716,,,,,,,,157115,,828000,422400,,,,88,0,
2000-02-23 00:00:00,455.0,,,,,,,903600,688510,,,,,6256000000,0,112000,,,1287959,,,0,2520707,,,856800,,0,,,740,,488776,,,,,,14210000,1100000,,,,,15949897,,,,0.0,,,,,,,,5461760000,20334080000,,,,0.0,,,,,,,,,1733,,,,,,,,154815,,1288800,792000,,,,168,0,
2000-02-24 00:00:00,5005.0,,,,,,,1197000,4393354,,,,,7676000000,0,44000,,,2092610,,,0,2419679,,,3499200,,0,,,1575,,422540,,,,,,10630000,3020000,,,,,12333642,,,,0.0,,,,,,,,9756160000,32931840000,,,,0.0,,,,,,,,,1587,,,,,,,,73007,,1448550,340800,,,,344,0,
2000-02-25 00:00:00,3033.0,,,,,,,1519200,1475380,,,,,4760000000,0,8000,,,1503418,,,0,1603450,,,3484800,,8000,,,1301,,304914,,,,,,52280000,2480000,,,,,15990241,,,,0.0,,,,,,,,4839680000,36958720000,,,,0.0,,,,,,,,,1057,,,,,,,,32503,,881100,38400,,,,103,0,
2000-02-28 00:00:00,0.0,,,,,,,181800,360648,,,,,2144000000,0,24000,,,891720,,,0,2112593,,,2793600,,0,,,451,,378002,,,,,,7830000,1120000,,,,,6375924,,,,0.0,,,,,,,,3790080000,11596800000,,,,0.0,,,,,,,,,587,,,,,,,,37603,,451800,81600,,,,312,0,
2000-02-29 00:00:00,11602.0,,,,,,,2057400,3147478,,,,,3784000000,0,35200,,,1830296,,,0,2342657,,,1461600,,96000,,,740,,504764,,,,,,2280000,530000,,,,,2558438,,,,0.0,,,,,,,,1628160000,24322560000,,,,0.0,,,,,,,,,965,,,,,,,,39803,,380250,465600,,,,58,0,
2000-03-01 00:00:00,0.0,,,,,,,1758600,5344155,,,,,5796000000,0,39200,,,4112541,,,75951,1348378,,,38116800,,0,,,1068,,1087184,,,,,,3460000,250000,,,,,9763887,,,,0.0,,,,,,,,2238720000,23828480000,,,,0.0,,,,,,,,,604,,,,,,,,274127,,593550,244800,,,,185,0,
2000-03-02 00:00:00,0.0,,,,,,,1135800,4524499,,,,,5696000000,0,12000,,,5772389,,,0,2062579,,,6912000,,0,,,1093,,584704,,,,,,5350000,1290000,,,,,12776449,,,,0.0,,,,,,,,2679040000,24053760000,,,,0.0,,,,,,,,,2524,,,,,,,,118011,,8419950,624000,,,,601,0,
2000-03-03 00:00:00,758.0,,,,,,,1465200,3508126,,,,,3712000000,0,8000,,,5241489,,,10366,1850519,,,6408000,,8000,,,1361,,372292,,,,,,9520000,1370000,,,,,15240914,,,,0.0,,,,,,,,1624320000,13217280000,,,,0.0,,,,,,,,,2175,,,,,,,,123912,,3476700,571200,,,,160,0,
2000-03-06 00:00:00,0.0,,,,,,,0,0,,,,,0,0,0,,,0,,,0,0,,,0,,0,,,0,,0,,,,,,0,0,,,,,0,,,,0.0,,,,,,,,0,0,,,,0.0,,,,,,,,,0,,,,,,,,0,,0,0,,,,0,0,
2000-03-07 00:00:00,0.0,,,,,,,0,0,,,,,0,0,0,,,0,,,0,0,,,0,,0,,,0,,0,,,,,,0,0,,,,,0,,,,0.0,,,,,,,,0,0,,,,0.0,,,,,,,,,0,,,,,,,,0,,0,0,,,,0,0,
2000-03-08 00:00:00,0.0,,,,,,,1128600,393434,,,,,3712000000,0,0,,,1339979,,,0,964270,,,18302400,,16000,,,1207,,124478,,,,,,6150000,1540000,,,,,7357725,,,,0.0,,,,,,,,936960000,8337920000,,,,0.0,,,,,,,,,1305,,,,,,,,71907,,1197900,158400,,,,8,0,
2000-03-09 00:00:00,1971.0,,,,,,,1582200,2163891,,,,,3728000000,0,0,,,3313423,,,0,841236,,,1454400,,0,,,1432,,137040,,,,,,6630000,20000,,,,,8017261,,,,0.0,,,,,,,,4049920000,21578240000,,,,0.0,,,,,,,,,1009,,,,,,,,86708,,2456100,336000,,,,31,0,
2000-03-10 00:00:00,0.0,,,,,,,162000,2032746,,,,,2544000000,0,0,,,2833805,,,0,1139319,,,792000,,8000,,,1733,,1693586,,,,,,9870000,30000,,,,,18195173,,,,0.0,,,,,,,,2181120000,14763520000,,,,0.0,,,,,,,,,948,,,,,,,,110811,,1199700,211200,,,,89,0,
2000-03-13 00:00:00,0.0,,,,,,,0,0,,,,,0,0,0,,,0,,,0,0,,,1396800,,0,,,1615,,501338,,,,,,0,450000,,,,,0,,,,0.0,,,,,,,,2890240000,0,,,,0.0,,,,,,,,,0,,,,,,,,0,,2297250,0,,,,0,0,
2000-03-14 00:00:00,227.0,,,,,,,1423800,6655604,,,,,7036000000,0,32800,,,1663537,,,0,2114593,,,2584800,,0,,,707,,478498,,,,,,4440000,380000,,,,,3300877,,,,0.0,,,,,,,,4426240000,28421120000,,,,0.0,,,,,,,,,316,,,,,,,,35603,,622350,475200,,,,70,0,
2000-03-15 00:00:00,0.0,,,,,,,2028600,1311449,,,,,3704000000,0,18400,,,3756886,,,0,1015285,,,6501600,,0,,,629,,518468,,,,,,10550000,550000,,,,,9113207,,,,0.0,,,,,,,,3466240000,25216000000,,,,0.0,,,,,,,,,506,,,,,,,,39003,,421650,216000,,,,100,0,
2000-03-16 00:00:00,99343.0,,,,,,,1344600,1573739,,,,,6836000000,0,19200,,,2667046,,,0,1516425,,,7056000,,0,,,1840,,236394,,,,,,2770000,170000,,,,,13773748,,,,0.0,,,,,,,,1118720000,23298560000,,,,0.0,,,,,,,,,4152,,,,,,,,54905,,2746800,13742400,,,,184,0,
2000-03-17 00:00:00,1516.0,,,,,,,705600,2360608,,,,,3240000000,0,30400,,,2898738,,,0,5023410,,,5076000,,0,,,1278,,734306,,,,,,12420000,230000,,,,,10054663,,,,0.0,,,,,,,,922880000,18447360000,,,,0.0,,,,,,,,,931,,,,,,,,70907,,1628550,6254400,,,,159,0,
2000-03-20 00:00:00,0.0,,,,,,,610200,1081945,,,,,1792000000,0,31200,,,1926220,,,0,7206023,,,252000,,0,,,421,,311766,,,,,,2490000,50000,,,,,3003459,,,,0.0,,,,,,,,951040000,16012800000,,,,0.0,,,,,,,,,1524,,,,,,,,132113,,1206450,1041600,,,,134,0,
