Date,BBAS3.SA,BBDC3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSNA3.SA,CYRE3.SA,ELET3.SA,EMBR3.SA,GGBR4.SA,GOAU4.SA,ITSA4.SA,PETR3.SA,PETR4.SA,SBSP3.SA,TRPL4.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-08 00:00:00,1128600,393434,3712000000,0,0,1339979,0,964270,18302400,16000,1207,124478,6150000,1540000,7357725,936960000,8337920000,1305,71907,1197900,158400,8,0
2000-03-09 00:00:00,1582200,2163891,3728000000,0,0,3313423,0,841236,1454400,0,1432,137040,6630000,20000,8017261,4049920000,21578240000,1009,86708,2456100,336000,31,0
2000-03-10 00:00:00,162000,2032746,2544000000,0,0,2833805,0,1139319,792000,8000,1733,1693586,9870000,30000,18195173,2181120000,14763520000,948,110811,1199700,211200,89,0
2000-03-13 00:00:00,0,0,0,0,0,0,0,0,1396800,0,1615,501338,0,450000,0,2890240000,0,0,0,2297250,0,0,0
2000-03-14 00:00:00,1423800,6655604,7036000000,0,32800,1663537,0,2114593,2584800,0,707,478498,4440000,380000,3300877,4426240000,28421120000,316,35603,622350,475200,70,0
2000-03-15 00:00:00,2028600,1311449,3704000000,0,18400,3756886,0,1015285,6501600,0,629,518468,10550000,550000,9113207,3466240000,25216000000,506,39003,421650,216000,100,0
2000-03-16 00:00:00,1344600,1573739,6836000000,0,19200,2667046,0,1516425,7056000,0,1840,236394,2770000,170000,13773748,1118720000,23298560000,4152,54905,2746800,13742400,184,0
2000-03-17 00:00:00,705600,2360608,3240000000,0,30400,2898738,0,5023410,5076000,0,1278,734306,12420000,230000,10054663,922880000,18447360000,931,70907,1628550,6254400,159,0
2000-03-20 00:00:00,610200,1081945,1792000000,0,31200,1926220,0,7206023,252000,0,421,311766,2490000,50000,3003459,951040000,16012800000,1524,132113,1206450,1041600,134,0
2000-03-21 00:00:00,3186000,4983506,3764000000,0,66400,1964958,0,5140443,6955200,256000,1362,396274,15800000,240000,9084179,3426560000,25492480000,4218,216821,1740600,81600,112,0
2000-03-22 00:00:00,6768000,5311369,5340000000,0,176000,2321351,122495,4807349,8762400,232000,716,470504,6490000,1290000,14357515,2993920000,25113600000,4195,151115,1399950,2020800,110,0
2000-03-23 00:00:00,586800,1803242,5608000000,0,32800,1858335,0,2112593,6501600,0,1075,239820,15110000,800000,16712508,1999360000,26447360000,9594,85908,1741500,681600,167,0
2000-03-24 00:00:00,547200,4360568,6084000000,0,21600,1393475,0,5654587,5364000,0,581,296920,3980000,310000,25023006,1850880000,15249920000,8436,61906,524700,1377600,127,0
2000-03-27 00:00:00,667800,2458967,3180000000,0,10400,1718877,0,1852520,3938400,0,675,216980,4910000,30000,13847549,5706240000,22727680000,2567,73307,547200,1262400,59,0
2000-03-28 00:00:00,646200,3213050,5756000000,0,5600,1978609,0,2757774,8251200,8000,1272,901038,5580000,190000,8618986,3650560000,16906240000,5105,163916,1654650,1233600,104,0
2000-03-29 00:00:00,961200,3180264,8088000000,0,106400,809816,0,1942545,2851200,16000,654,282074,4470000,1440000,5523767,672000000,21788160000,14160,115211,1064250,772800,274,0
2000-03-30 00:00:00,547200,1377021,6208000000,0,40000,1947987,0,4723326,23760000,0,1436,912458,4420000,80000,5418723,2140160000,16432640000,10936,44804,2602800,28800,92,0
2000-03-31 00:00:00,1497600,360648,17560000000,0,167200,1455825,0,2228625,16264800,0,2094,283216,2170000,210000,7015534,1159680000,20659200000,8774,34003,4669200,1003200,108,0
2000-04-03 00:00:00,1555200,819655,3156000000,0,14400,2084125,0,1535431,3945600,0,2401,293494,6720000,3350000,14661821,3439360000,18083840000,3696,53305,3285000,585600,99,0
2000-04-04 00:00:00,2494800,2426180,4448000000,0,9600,2673686,0,1014284,3859200,0,1701,203276,2570000,1650000,20149918,3395840000,33208320000,6049,92409,982350,1036800,184,0
2000-04-05 00:00:00,1004400,4754003,4296000000,0,10400,2793960,0,3462972,2368800,0,991,476214,5370000,120000,7558956,6502400000,40258560000,5381,224422,2787750,566400,140,0
2000-04-06 00:00:00,738000,885228,2576000000,0,12000,2165660,0,3895093,1137600,0,1069,395132,2170000,90000,6809628,4524800000,24975360000,1964,95409,1641600,3528000,227,0
2000-04-07 00:00:00,1780200,393434,4376000000,0,30400,706145,0,2839797,684000,16000,462,41112,6790000,1310000,5130161,2676480000,19161600000,1816,86608,1089000,115200,316,0
2000-04-10 00:00:00,991800,459007,1340000000,0,28800,885448,0,1114312,993600,96000,553,66236,2400000,660000,5172720,659200000,13194240000,1393,35003,365850,1420800,236,0
2000-04-11 00:00:00,1510200,1311449,2208000000,0,20800,1515593,0,4620297,3852000,96000,774,223832,740000,70000,5698184,1765120000,21875200000,2620,96109,959400,1800000,75,0
2000-04-12 00:00:00,1692000,491793,3596000000,0,25600,2151641,42101,2617735,3427200,0,1225,406552,3470000,60000,13521102,4574720000,45626880000,5604,167616,1667250,0,240,0
2000-04-13 00:00:00,604800,2622898,8184000000,0,24000,792107,0,2082584,2332800,0,1147,202134,1780000,2500000,5078746,1996800000,40263680000,1906,31603,1836450,96000,88,0
2000-04-14 00:00:00,1191600,2786829,7848000000,0,0,1684197,33638,2763776,5544000,8000,1748,465936,4110000,10000,11347413,3351040000,0,5297,148114,1759050,1497600,0,0
2000-04-17 00:00:00,811800,2754043,6604000000,0,20800,1390892,31523,5436526,23263200,8000,1232,316334,7360000,410000,20022242,2693120000,66396160000,2428,106810,1876500,1396800,269,0
2000-04-18 00:00:00,1535400,2065532,5568000000,0,48800,2442363,23060,6004686,10051200,0,1437,251240,7340000,1130000,19065288,5935360000,50900480000,2962,204420,1901250,638400,162,0
2000-04-19 00:00:00,619200,983586,3480000000,0,0,1035606,0,2231626,10684800,0,545,197566,4130000,830000,14717664,1543680000,38799360000,2849,110411,1961550,936000,198,0
