Date,Volume,RSI_14
2015-04-16,4133000,67.6360868799016
2015-04-17,3537200,60.680140177977215
2015-04-20,2688000,58.919406548762424
2015-04-22,3700600,63.89727872417508
2015-04-23,5535100,68.95225644218554
2015-04-24,4982000,72.48365955223456
2015-04-27,3854300,63.43174087691327
2015-04-28,4082600,64.67441812812429
2015-04-29,3888400,60.76475203452717
2015-04-30,4947500,64.99496130374413
2015-05-04,3492600,69.41443660319374
2015-05-05,3903800,71.79385829187969
2015-05-06,4598400,64.45229130747133
2015-05-07,3065100,63.11922128187539
2015-05-08,3410900,64.12039714676074
2015-05-11,2966300,64.33987174556349
2015-05-12,3087600,60.95202878117668
2015-05-13,3071700,57.56675512717953
2015-05-14,3209800,59.22181518759467
2015-05-15,2894400,62.494221553637985
2015-05-18,3778400,54.222463033120086
