,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2021-01-06,1.9937363484042206e-12,1.0570184879866633e-11,3.113472003774933e-13,4.1911227038491634e-13,4.675971583166735e-13,0.0064722319142041344,9.207695650675045e-12,7.792160483588845e-13,2.0339445886223188e-13,2.6862953487601853e-13,3.146672881295658e-13,4.7980849624801635e-12,2.8232201502341044e-13,2.63529158224006e-13,1.1316736047331774e-12,1.7327092574516405e-13,4.382775370559759e-13,0.02268635638245545,1.7619551621390646e-13,3.101624944329863e-13,4.2255562821525646e-13,0.04765954737867793,1.1321219048677765e-12,9.053287475542332e-13,1.6393386471533033e-13,0.000727126235657401,4.949686286094005e-13,3.1854849032981863e-13,2.4712175736802485e-12,1.3124397859345729e-12,2.5653459537222177e-12,4.937598653521608e-13,3.6066628674694757e-13,5.255451929286207e-11,3.0802016507773004e-13,2.5404102689582434e-13,0.15145296281743922,2.595153748028781e-13,2.9177801592074974e-13,1.8041310838334604e-13,0.05702525442283595,2.3372617849346435e-13,5.667033107857677e-13,2.2932786912987283e-13,0.025146936554995784,0.025525663406508362,0.06129323111056142,0.2999999999971148,5.438698352343681e-12,0.02783453984948768,0.12644551724682204,1.9644056185145384e-13,3.276061758622781e-13,0.04599907043327132,0.10173156214197378,4.0769708498535565e-12,3.269179449189642e-13
2021-01-21,5.106250194679058e-11,1.3800794674441648e-10,5.3760431263118595e-12,6.9771839353083315e-12,7.715002637913737e-12,0.0026221399195044213,2.3899108624306355e-10,1.2404101961156201e-11,3.3257122062920366e-12,4.6042397060345875e-12,5.887141822646834e-12,5.184946673938445e-11,5.217617414925802e-12,4.244901468153493e-12,1.0717750063141342e-11,2.643376758974428e-12,6.4786485102345846e-12,4.811439331683657e-10,2.514794489465486e-12,5.0327289722519795e-12,4.765490005414814e-12,0.043020756294076826,2.1359113838034637e-11,1.529054752195095e-11,2.803573877480599e-12,0.01130820286634038,7.582380834215624e-12,5.129185283207629e-12,3.633276852370692e-11,1.4375419918254004e-11,1.9374664652462255e-11,8.291871707071466e-12,6.306506167396415e-12,2.6225271788033737e-11,4.892619641729867e-12,4.2706953916492605e-12,0.12726370731811115,4.154267105975948e-12,4.800196030715736e-12,2.987396955163623e-12,0.06446558374685171,4.51009777204915e-12,8.527412320720996e-12,4.343952989165893e-12,0.03153818484193737,0.022971825852978335,0.0733750349956695,0.2999999999635009,2.902379531446913e-11,0.029217664469881853,0.13025575866629743,3.2179203244244122e-12,5.678550743267e-12,0.057381100800787656,0.10658003892713155,4.104795084726593e-11,7.445231621726444e-12
2021-02-05,2.711459490457092e-10,1.111433279684771e-10,1.7217136282330396e-11,2.3256112831315175e-11,2.5087259892002465e-11,0.011159037993428796,3.287177029617846e-10,3.580407197977687e-11,8.230772880580714e-12,1.3702825844297e-11,1.7399147010094377e-11,1.29938546499496e-10,1.5668287363930485e-11,1.3411848708801969e-11,2.254004802834336e-11,7.352730331072486e-12,2.2870881514034627e-11,0.002179890000776511,6.9516632144711804e-12,1.3671677736097208e-11,1.1524099570245332e-11,0.020172327938674104,5.726591076496109e-11,4.1592056216400846e-11,7.954844002573416e-12,0.010876084454604914,1.9384410275081987e-11,1.3953998074555081e-11,1.3005518216517976e-10,4.185649614584755e-11,6.686736590604076e-11,2.8262414276776163e-11,1.6594409645708944e-11,7.732752158693474e-10,1.1231037411594679e-11,1.0843863053222609e-11,0.1307870402818721,1.0785182031719598e-11,1.2007401725165826e-11,7.01944229481644e-12,0.06827146330262882,1.1062873156596225e-11,2.8133929980385377e-11,1.2421779570745556e-11,0.02977458921439824,0.01328738131019832,0.07649936339559407,0.29999999993254617,5.7628652292450536e-11,0.02383386886354092,0.1406426729736858,8.685694189040684e-12,1.4063359730336534e-11,0.05949616581354103,0.11302011190954278,1.218236533892731e-10,1.656429457811831e-11
2021-02-22,0.008424709753857765,4.528704312274905e-11,8.092266240503757e-12,1.2044934984865178e-11,1.2750234184080121e-11,0.0037282322814310037,0.048986871889249814,2.1786508540261663e-11,4.76095899402329e-12,7.749373721204518e-12,8.552026823341215e-12,5.948895085021844e-11,8.445574717724293e-12,6.915363555824749e-12,1.434618575201081e-11,4.059175698512569e-12,1.4712844817420463e-11,0.013539311656227494,4.04849958583968e-12,8.229170133776643e-12,8.344190939603934e-12,0.028212230576519486,2.9014493866312237e-11,2.2569000910777266e-11,4.46484168475451e-12,1.7055413411672595e-10,1.2489293301625395e-11,8.293880733713373e-12,6.007943137595543e-11,2.33181417126592e-11,3.491979546665084e-11,1.493023168688836e-11,1.0225970967788804e-11,0.0009410840636788927,6.297523528452032e-12,6.1308777977575644e-12,0.12413665265466019,6.208782200453882e-12,6.782496061878654e-12,4.215100313829942e-12,0.06143175955558243,6.419537398370638e-12,1.3347125620491097e-11,6.330606095977367e-12,0.030837421523800774,0.008131961434983676,0.08177734949210909,0.29999999994813636,3.2395589914279195e-11,0.020503359588261983,0.14073170633784532,4.580055821168584e-12,8.529760299903261e-12,0.018702627199211362,0.10991472117153832,1.2052847390161838e-10,1.0667586299799772e-11
2021-03-09,1.868090362422245e-12,1.0465232086505263e-12,2.027438105092155e-13,2.631091314122048e-13,2.693330338349161e-13,0.003499771031754704,0.016528204901283747,6.49641117890962e-13,1.2915901364438702e-13,1.6346362310756895e-13,2.282634899552915e-13,2.0545542499855284e-12,2.3021485834264746e-13,1.7886620463995837e-13,2.6382576388180685e-13,1.0249961420315973e-13,3.077869572686932e-13,0.03120533021439016,1.134438695312143e-13,2.186644517997113e-13,1.8768525341643235e-13,0.01929145269609925,5.544600213097444e-13,4.5277230068337196e-13,1.1029939589782436e-13,0.052214454964659714,2.0929588201867126e-13,1.6090344720132866e-13,1.875530370846602e-12,4.5464462568749323e-13,4.974010685594978e-13,6.294429062418009e-13,2.426783880102457e-13,0.0134178127981996,1.8032122914163808e-13,1.7617782446006143e-13,0.07532933430690922,1.4542970283176422e-13,1.5660909075474347e-13,1.148518498491907e-13,0.05049080773230926,1.4590499368944915e-13,2.6811328693272453e-13,2.070747341267801e-13,0.05050319228690028,1.6276585302198573e-12,0.08919832051057856,0.29999999999853294,6.744078579514409e-13,0.012850548639236745,0.10919582466287787,1.1994691070701682e-13,1.4999077221201147e-13,0.051747225426993,0.12452771981001343,1.4063657765467726e-12,2.233094512942053e-13
2021-03-24,5.026566312294231e-12,3.1149227606665277e-12,5.66980465383454e-13,7.81243925333174e-13,7.867620793968702e-13,0.002368768037797872,0.01201072800063515,2.816645037635436e-12,3.780392360731127e-13,5.267598840663007e-13,6.695922347530183e-13,3.695730117355872e-12,6.721330977401126e-13,5.341438405993558e-13,7.198750799797964e-13,2.846536329616599e-13,9.825225660093144e-13,0.03024456808812837,3.603064126417764e-13,7.199571340684801e-13,4.896196334654289e-13,0.017518896281675682,1.993262698154331e-12,1.2259633441213418e-12,3.278442571564331e-13,0.049413372693375174,6.125959177498338e-13,4.651120971800323e-13,6.0927472892673165e-12,1.2552290971758394e-12,1.346330098945765e-12,2.01239778060831e-12,6.954408039802841e-13,0.014972279333354717,4.513701738447846e-13,5.348077305097603e-13,0.07323414881625806,4.275726848702245e-13,4.4994583381036627e-13,2.995930861868373e-13,0.05595478827615129,4.44572075014057e-13,7.761622683232618e-13,6.531747461982153e-13,0.05432931338377649,5.041576773909905e-12,0.08913991231784929,0.29999999999644134,2.597939684124599e-12,0.00911093003270356,0.10738058645315433,3.6076316037810137e-13,4.2915717200607914e-13,0.05518203747375358,0.12913967075582305,6.807920565615438e-12,6.941070632474191e-13
2021-04-08,2.6619223630220083e-11,4.870423376831848e-12,1.4060103027602924e-12,1.855034005583238e-12,1.9400298679745496e-12,0.0005782049410361066,9.23822270622321e-11,5.338275913325937e-12,7.324516759749388e-13,1.2863586763000642e-12,1.6161931648011743e-12,9.546471088839444e-12,1.5853851448619571e-12,1.209787151246776e-12,2.229650430876674e-12,6.294668944590945e-13,2.8260504151495006e-12,0.053734780245143755,8.62835384978652e-13,1.7940722984486336e-12,1.0114041515984468e-12,0.005768928234472423,9.458724575144148e-12,3.909917123209859e-12,7.068238950190298e-13,0.04614090860055468,1.6777798016012682e-12,1.2192235749389126e-12,2.1406872121052533e-11,3.545168830459651e-12,4.623388977989262e-12,4.104015958587078e-12,1.4780246445821526e-12,0.023576588294857002,1.0947764912876973e-12,1.1403982553985327e-12,0.06398941983305276,1.13251038164624e-12,1.1782192971647159e-12,6.599578919949018e-13,0.06362307616910023,1.0077831503769617e-12,1.9496515518177576e-12,1.5985036051128982e-12,0.06904385827322664,1.635855914017451e-11,0.0883487306816018,0.2999999999905509,6.095027675980318e-12,3.9219990837661355e-11,0.10152005790885739,8.048039053868198e-13,1.0462200079473768e-12,0.06418223824320873,0.11949320794203296,3.553741521160319e-10,1.7727657632035178e-12
2021-04-23,1.1626587670385048e-11,2.3442152708276222e-12,5.435213196779178e-13,7.282352410080615e-13,7.780972045139287e-13,1.132589958870422e-11,8.410216318368097e-12,1.9991085340605664e-12,2.469618763139185e-13,4.670012151270268e-13,5.447507743352529e-13,3.1092433181674337e-12,5.888307878022522e-13,4.3141908427682523e-13,8.939056338179035e-13,2.3347616491881675e-13,9.776384742990418e-13,0.05210394668588931,3.307481584634015e-13,6.850401095828877e-13,4.1116595910238476e-13,0.0045932483986688795,2.0430905271082845e-12,1.4314866823226655e-12,2.5879119359481527e-13,0.043045138629909704,5.603582858096314e-13,4.2520216851397765e-13,5.932338017253449e-12,1.3446042521741418e-12,1.7085343070919774e-12,2.0714709846335967e-12,4.885236906953438e-13,0.0263577328495729,4.4452594471358227e-13,4.07799898127605e-13,0.053843476850007836,4.20172621749564e-13,4.3016150843749515e-13,2.321444611694988e-13,0.07084308776126973,3.6615796612994834e-13,6.958947333202452e-13,5.566700605326531e-13,0.07084297980523921,4.314194947645737e-12,0.08959603534899672,0.299999999995737,1.8338140940392034e-12,1.5595838324429414e-11,0.10038597420944505,2.823921716459665e-13,3.808543489259808e-13,0.06496633286493489,0.11569542104018403,0.007726625470523576,7.201978705485865e-13
2021-05-10,0.01823766743725968,4.770121094550871e-11,5.927582553189158e-12,7.315457188812906e-12,8.56907789001762e-12,7.277868462836086e-11,9.762130125465341e-11,2.6657038473551722e-11,2.767355828357938e-12,4.66462511290573e-12,6.358469520902359e-12,4.310153192986805e-11,7.140789219637084e-12,5.052384983527969e-12,7.452955325453267e-12,2.8337666989215637e-12,8.931388791330472e-12,0.05760438721340079,3.8630464856813705e-12,7.795575058013685e-12,4.390652924815329e-12,0.006023749602406488,2.8751709299892294e-11,1.4415021596823202e-11,3.1770607457048225e-12,0.05558938929044085,6.363967073317877e-12,4.8419231810326515e-12,3.843686869744992e-11,1.4457008264292734e-11,1.534675474977004e-11,2.6512732251079315e-11,6.011119904189071e-12,0.03383788020356508,4.599473950323456e-12,4.677358377450016e-12,0.029106015469388864,4.746169864223601e-12,5.068758971609817e-12,2.5284633405117588e-12,0.0811423882761174,4.3897999326388495e-12,8.361058669318389e-12,6.7923440272990015e-12,0.06788001120564488,3.515318019174252e-11,0.10003810803544681,0.2999999999566764,2.7883151875974777e-11,1.009572748838269e-10,0.10136733650924738,3.0303981366460784e-12,4.2683146971666236e-12,0.05701904302203507,0.0900768260252872,0.0020771970042698343,7.12060935013945e-12
2021-05-25,0.009433222313560773,2.2424225251061003e-12,4.2416039319293405e-13,5.755155139145731e-13,6.925083994449467e-13,0.008758334830292223,5.1804423498934904e-11,2.580989085775979e-12,1.7596723673798533e-13,2.780893505169894e-13,3.7875314844305436e-13,2.667070128862268e-12,3.875851805904868e-13,2.803172046210921e-13,5.089801807238335e-13,1.6413158825432277e-13,4.1335990838258427e-13,0.04796881035514415,2.4505154138373483e-13,4.917568428939946e-13,2.448807999946525e-13,6.417468418543157e-12,3.315118661650113e-12,9.590605018550006e-13,1.9508120335304593e-13,0.07123989133409545,4.212349148787383e-13,3.2461359660854326e-13,3.784202470195682e-12,1.234190501036955e-12,1.4889455424053835e-12,1.7351812390231988e-12,3.4170649310746874e-13,0.01933793881507393,2.5482898034081305e-13,2.940143697643217e-13,0.04623073016504321,2.8052289996485705e-13,2.9516813278923486e-13,1.2886194719148396e-13,0.04998464398793168,2.440931120726873e-13,8.094698835240297e-13,4.453786013203032e-13,0.06036373686556321,1.3215101946943006e-12,0.11353450144365254,0.29999999999683835,1.1426009309379703e-12,2.431992118656303e-11,0.11197953867298083,1.9753312251560918e-13,2.5389361316558566e-13,0.0540673741236676,0.1049673877560369,0.002133889224950397,4.0832016759181145e-13
