Date,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2011-02-01 00:00:00,3338.0,601.0,19812,4318,21537.0,186.0,2713,2148,1164,5428.0,6226.0,7600,1940,14053,4500.0,4217,2145,2008.0,1191.0,1574,1138.0,1580,39.0,5666.0,708.0,977.0,530.0,63000,4914,7365.0,9619,15362069.0,932.0,16750.0,4750.0,4161.0,243.0,0.0,7298,28782500,1825000.0,1518.0,2770.0,2291.0,2550,1156.0,714.0,0.0,0.0,1185.0,12986.0,0,0.0,7122700,4865,103,3778,375.0
2011-02-02 00:00:00,532597.0,344495.0,6844000,2528273,20398484.0,271739.0,2720673,1347403,1624400,1666000.0,10947203.0,5122758,721011,6394795,4393176.0,2063700,4425700,3803990.0,433625.0,1272783,820600.0,1985800,96155.0,0.0,1838325.0,472315.0,179429.0,9645804,1710000,3257700.0,25253303,16844250.0,2750500.0,9746150.0,1985356.0,10719373.0,1396879.0,0.0,10226100,33156700,765000.0,5239000.0,3474226.0,2282477.0,808500,128744.0,253800.0,0.0,0.0,744200.0,1042527.0,814946,0.0,6277300,2477800,21500,948428,1157400.0
2011-02-03 00:00:00,2412.0,1035.0,15764,2648,17330.0,82.0,631,1306,2266,2572.0,7650.0,6928,767,4161,2607280.0,3055,1561,1242.0,471.0,1099,932.0,711,67.0,0.0,754.0,945.0,1684.0,7765758,3708,4221.0,5301,10454332.0,1230.0,8646.0,2304.0,1279.0,2424.0,0.0,6312,27639400,790000.0,2085.0,2299.0,2969.0,1254,522.0,663.0,0.0,3.0,1021.0,4775.0,0,0.0,5214,2022,105,1669,900.0
2011-02-04 00:00:00,498058.0,311028.0,20030200,3378365,27392820.0,328894.0,1228012,2076677,896900,4142000.0,14713321.0,4619143,682506,9433648,4175340.0,2746700,2996100,3835586.0,308625.0,1287889,754600.0,1392900,137225.0,1333.0,535004.0,541969.0,141253.0,7495866,1529500,2598800.0,19507329,22155639.0,4138400.0,11857179.0,1955286.0,7167075.0,688539.0,0.0,5859200,27702000,1095000.0,4395040.0,10384645.0,6312671.0,906600,487388.0,204300.0,0.0,193800.0,389800.0,1462852.0,641468,0.0,5648500,2382500,12800,3119740,903600.0
2011-02-07 00:00:00,98610.0,413761.0,10321600,1369058,16254919.0,331131.0,2799850,1344146,1074400,1725600.0,7204973.0,1869982,455286,4055138,3454321.0,1183700,3271300,1116741.0,3136000.0,928952,754300.0,2226700,160232.0,1888.0,366558.0,666148.0,1204681.0,3791214,997500,2867200.0,13491871,12931370.0,1863700.0,9066623.0,798125.0,3295011.0,967555.0,0.0,4156400,23873700,540000.0,2373280.0,750184.0,2760992.0,689400,210056.0,202200.0,0.0,12000.0,508400.0,281723.0,187195,0.0,3254700,2316600,8400,1777204,2346000.0
2011-02-08 00:00:00,901.0,208.0,20274,3012,24027681.0,1.0,1114,1564,496,3528.0,4369.0,7526,1095,5421,5090.0,3032,2323,1890.0,951.0,573,1018.0,1472,280.0,0.0,245378.0,538.0,791.0,4616,1224,2121.0,7762,15982701.0,658.0,14388.0,1652.0,1605.0,1335.0,0.0,3574,21047,15000.0,2241.0,3321.0,2160.0,1401,48.0,555.0,0.0,98700.0,600.0,6990.0,0,0.0,2850,1792,117,3914,888.0
2011-02-09 00:00:00,349391.0,227443.0,12705200,688760,18595812.0,65900.0,2784015,1982760,704600,3782400.0,10278741.0,4211473,580321,5592570,0.0,3769300,2758500,1858974.0,890125.0,1657629,893900.0,1493100,438351.0,1111.0,187050.0,394345.0,621217.0,0,1326700,3338700.0,0,13957850.0,4265900.0,10187541.0,2186999.0,8181593.0,1078561.0,0.0,4280700,0,1485000.0,2963480.0,5233844.0,2828593.0,1054800,2193004.0,290100.0,0.0,0.0,470800.0,1233858.0,720138,0.0,4178600,2174500,24000,10356320,922500.0
2011-02-10 00:00:00,225252.0,309529.0,13296800,846988,16143234.0,198821.0,2564487,3596682,725100,4937600.0,20849711.0,3380079,506062,4700319,0.0,2598000,2935300,1716883.0,747125.0,833016,666100.0,1735900,283850.0,1111.0,933241.0,385349.0,900329.0,0,1633400,2609000.0,22038270,17567882.0,4274500.0,10098994.0,1409491.0,5033870.0,417923.0,0.0,4516200,0,1335000.0,11003720.0,3470387.0,3801247.0,670200,665500.0,216000.0,0.0,0.0,727800.0,1907282.0,626944,0.0,5726600,3693000,21400,7015528,1810800.0
2011-02-11 00:00:00,535099.0,1166523.0,15882800,1722464,0.0,336521.0,2451469,2564226,1431800,4426400.0,8521989.0,5679384,984832,8806472,15177408.0,3199300,7393400,3804525.0,398000.0,1476360,6735900.0,1122700,156538.0,333.0,1439082.0,249856.0,949535.0,8423856,1067400,4082100.0,22903932,16020914.0,5770400.0,9656262.0,1523739.0,11374965.0,1840604.0,0.0,3686600,19504200,3500000.0,2377440.0,3476668.0,1576058.0,414300,791824.0,597300.0,0.0,0.0,337200.0,3196883.0,875059,0.0,6718600,3476200,22300,13835692,1642200.0
2011-02-14 00:00:00,738828.0,489353.0,10992000,1618106,0.0,70070.0,1039721,1635667,1092900,2509600.0,7778281.0,3745564,734763,7701162,6686305.0,2503500,4789000,2283822.0,505375.0,930853,1138600.0,2031000,232784.0,3333.0,613445.0,264714.0,194488.0,6548346,932100,3317500.0,13227026,10894221.0,6357200.0,9855491.0,1251797.0,6440863.0,1700196.0,0.0,3692600,18258200,2400000.0,2354560.0,5234542.0,1245451.0,660600,16940.0,978000.0,0.0,0.0,261300.0,1322744.0,642274,0.0,5461600,2407700,5900,3949868,1215000.0
