bvsp_vol,rsi
3233000,50.38569837609362
2264400,42.78402286371582
2289000,47.78779191651227
1767200,44.17146686949679
0,40.22323585923795
1616600,46.57774235440814
1612000,45.1205415618188
2779200,41.38922317324763
3083000,60.175137003947796
2252000,59.96678706498886
2351200,60.30333905223085
1659200,62.56172049053063
2244600,65.92031385769475
2689200,74.02765911439934
2245200,69.3057946776683
2145600,70.82946410785222
5624200,61.68118453125859
1705000,63.64676908629156
2524200,66.52533091929774
2757800,68.88140185017501
2843400,81.42331629677162
2246400,81.71169603553778
2376000,74.33530988306072
2731000,74.31499920600423
3174000,86.44560682897473
2218200,85.64930913478935
2197600,82.4529203993913
3437800,80.94933410089527
3904000,84.67878637592062
3107600,85.2749322910661
3059800,97.20911214454836
1919600,96.79129729571069
2722000,96.75971491203492
